downtime_id,machine_id,machine_name,location,downtime_start,downtime_end,duration_minutes,downtime_type,cause_description,resolved_by,resolution_actions,parts_replaced,scheduled_maintenance,production_impact,reported_by,report_date
1,MX-1001,Press Alpha,Assembly Line A,2024-06-03T08:14:00,2024-06-03T09:02:00,48,mechanical,Main drive belt slipped off spindle during morning shift.,tech_jroberts,Adjusted belt alignment and tension; tested startup.,belt,false,"24 units delayed, 48 min lost",op_cmartin,2024-06-03
2,MX-2002,Welder Sigma,Welding Bay,2024-06-04T14:35:00,2024-06-04T15:00:00,25,electrical,Voltage drop detected; automatic shutdown triggered.,team_electric,Reset breaker and checked wiring.,,false,"10 units lost, minor delay",op_rkhan,2024-06-04
3,MX-3006,Cutter Theta,Cutting Room,2024-06-05T10:10:00,2024-06-05T11:30:00,80,mechanical,Blade jammed due to improper material feed.,tech_egreen,"Cleared jam, lubricated blade, tested cut.",blade,false,"36 units delayed, 80 min lost",op_dgomez,2024-06-05
4,MX-4009,Press Delta,Assembly Line B,2024-06-06T07:45:00,2024-06-06T08:15:00,30,operator_error,Forgot to reset machine after maintenance break.,op_jreed,Restarted machine and verified settings.,,false,"No units lost, minor delay",op_jreed,2024-06-06
5,MX-5003,Cutter Zeta,Cutting Room,2024-06-07T13:20:00,2024-06-07T15:10:00,110,scheduled_maintenance,Quarterly preventive check and calibration.,maintenance_team,"Cleaned and replaced filter, calibrated blade system.",filter,true,"Planned downtime, no impact",scheduler_bnelson,2024-06-05
6,MX-1002,Press Beta,Assembly Line C,2024-06-08T16:00:00,2024-06-08T16:50:00,50,mechanical,Hydraulic leak from rear actuator.,tech_slim,Replaced seal and tested hydraulic pressure.,seal,false,22 units delayed,op_rpatel,2024-06-08
7,MX-2004,Welder Kappa,Welding Bay,2024-06-09T09:35:00,2024-06-09T09:42:00,7,electrical,Fuse tripped during operation.,tech_lmurphy,"Replaced fuse, restarted system.",fuse,false,No measurable impact,op_lmurphy,2024-06-09
8,MX-4001,Press Gamma,Assembly Line D,2024-06-10T11:22:00,2024-06-10T12:37:00,75,mechanical,"Gear set worn, causing misalignment.",tech_egreen,"Replaced gear set, adjusted alignment.",gear set,false,"30 units lost, 75 min delay",op_lcastro,2024-06-10
9,MX-5008,Cutter Omega,Cutting Room,2024-06-11T17:00:00,2024-06-11T17:05:00,5,operator_error,"Incorrect material loaded, auto-stop triggered.",op_kwhite,"Removed incorrect material, resumed operation.",,false,No units lost,op_kwhite,2024-06-11
10,MX-3003,Cutter Lambda,Cutting Room,2024-06-12T06:50:00,2024-06-12T07:47:00,57,mechanical,"Coolant system failure, blade overheated.",tech_slim,"Replaced coolant pump, tested blade temperature.",coolant,false,28 units delayed,op_rpatel,2024-06-12
11,MX-2007,Welder Tau,Welding Bay,2024-06-13T12:00:00,2024-06-13T12:33:00,33,electrical,Sensor misread caused premature shutdown.,team_electric,"Reset sensor, updated firmware.",,false,8 units delayed,op_mharris,2024-06-13
12,MX-1004,Press Epsilon,Assembly Line E,2024-06-14T15:10:00,2024-06-14T15:28:00,18,mechanical,Minor jam in feed tray.,op_swright,Cleared jam and resumed operation.,,false,5 units delayed,op_swright,2024-06-14
13,MX-6001,Test Lab Proto,Test Lab,2024-06-15T10:30:00,2024-06-15T12:00:00,90,other,Software update and testing.,test_team,"Installed update, monitored system.",,false,Lab test; no production affected,test_team,2024-06-15
14,MX-1003,Press Zeta,Assembly Line A,2024-06-16T13:45:00,2024-06-16T15:25:00,100,scheduled_maintenance,Annual preventive maintenance.,maintenance_team,"Cleaned and replaced filter, tested systems.",filter,true,"Planned downtime, no impact",scheduler_dtran,2024-06-14
15,MX-3001,Cutter Alpha,Cutting Room,2024-06-17T11:10:00,2024-06-17T12:35:00,85,mechanical,Motor overheated due to blocked vent.,tech_jroberts,"Cleared vent, replaced motor.",motor,false,35 units lost,op_dgomez,2024-06-17
16,MX-2001,Welder Beta,Welding Bay,2024-06-18T07:30:00,2024-06-18T08:00:00,30,electrical,Short circuit at controller board.,tech_lmurphy,"Replaced circuit board, tested controls.",circuit_board,false,12 units delayed,op_mharris,2024-06-18
17,MX-4003,Press Theta,Assembly Line C,2024-06-19T09:00:00,2024-06-19T09:10:00,10,operator_error,Operator paused machine for unscheduled check.,op_tlee,Resumed operation after verification.,,false,No impact,op_tlee,2024-06-19
18,MX-5004,Cutter Kappa,Cutting Room,2024-06-20T15:50:00,2024-06-20T18:05:00,135,mechanical,Feeder tray motor failed.,tech_slim,"Replaced tray motor, tested feed.",motor,false,60 units delayed,op_rpatel,2024-06-20
19,MX-2006,Welder Pi,Welding Bay,2024-06-21T08:00:00,2024-06-21T08:18:00,18,electrical,Voltage regulator error.,team_electric,"Adjusted regulator, tested weld.",,false,No measurable impact,op_lmurphy,2024-06-21
20,MX-6002,Remote Test,Offsite Facility,2024-06-22T13:00:00,2024-06-22T16:00:00,180,other,Power outage due to grid failure.,facility_mgr,Restored backup power and restarted systems.,,false,All production suspended,facility_mgr,2024-06-22
21,MX-1005,Press Mu,Assembly Line B,2024-06-23T07:10:00,2024-06-23T07:35:00,25,mechanical,Lubrication pump failure.,tech_jroberts,Replaced pump and refilled lubricant.,pump,false,10 units delayed,op_cmartin,2024-06-23
22,MX-5005,Cutter Gamma,Cutting Room,2024-06-24T10:25:00,2024-06-24T12:00:00,95,mechanical,Blade sensor malfunctioned.,tech_egreen,"Replaced sensor, calibrated blade.",sensor,false,40 units delayed,op_dgomez,2024-06-24
23,MX-2008,Welder Nu,Welding Bay,2024-06-25T14:00:00,2024-06-25T14:21:00,21,electrical,"Overcurrent detected, emergency stop.",team_electric,"Inspected wiring, reset system.",,false,4 units lost,op_rkhan,2024-06-25
24,MX-4005,Press Xi,Assembly Line D,2024-06-26T16:40:00,2024-06-26T17:00:00,20,operator_error,Incorrect command sent to controller.,op_swright,Reset controller and retrained operator.,,false,"Minor delay, no units lost",op_swright,2024-06-26
25,MX-1006,Press Omicron,Assembly Line E,2024-06-27T11:00:00,2024-06-27T13:50:00,170,scheduled_maintenance,Semi-annual calibration and cleaning.,maintenance_team,Replaced nozzle and calibrated press.,nozzle,true,Production halted for maintenance window,scheduler_bnelson,2024-06-25
26,MX-3002,Cutter Beta,Cutting Room,2024-06-28T07:55:00,2024-06-28T09:30:00,95,mechanical,Bearing seized during high-speed run.,tech_jroberts,"Replaced bearing, lubricated shaft.",bearing,false,38 units delayed,op_dgomez,2024-06-28
27,MX-5006,Cutter Delta,Cutting Room,2024-06-29T16:20:00,2024-06-29T17:30:00,70,mechanical,Feed motor failed mid-shift.,tech_slim,"Replaced motor, tested feed.",motor,false,28 units delayed,op_rpatel,2024-06-29
28,MX-2009,Welder Rho,Welding Bay,2024-06-30T12:00:00,2024-06-30T12:44:00,44,electrical,Ground fault detected at power input.,team_electric,"Inspected ground connection, cleared fault.",,false,15 units delayed,op_mharris,2024-06-30
29,MX-4007,Press Phi,Assembly Line A,2024-06-02T08:00:00,2024-06-02T09:40:00,100,mechanical,Jam in material feed caused shutdown.,tech_egreen,"Cleared jam, lubricated mechanism.",,false,40 units delayed,op_cmartin,2024-06-02
30,MX-5007,Cutter Sigma,Cutting Room,2024-06-03T17:30:00,2024-06-03T18:45:00,75,mechanical,Coolant leak detected in system.,tech_slim,Replaced coolant hose and tested system.,coolant,false,35 units delayed,op_rpatel,2024-06-03
31,MX-1007,Press Omega,Assembly Line C,2024-06-04T15:00:00,2024-06-04T15:17:00,17,operator_error,"Forgot to set pressure, auto-stop occurred.",op_jreed,"Adjusted pressure, restarted press.",,false,No impact,op_jreed,2024-06-04
32,MX-6003,,,2024-06-05T09:00:00,2024-06-05T11:00:00,120,other,Safety system trial and calibration.,,Monitored system performance.,,false,No production affected,,2024-06-05
33,MX-4002,Press Beta,Assembly Line B,2024-06-06T07:05:00,2024-06-06T07:30:00,25,mechanical,Loose fastener caused vibration.,tech_jroberts,"Tightened fastener, checked alignment.",,false,8 units delayed,op_cmartin,2024-06-06
34,MX-3004,Cutter Epsilon,Cutting Room,2024-06-07T14:25:00,2024-06-07T16:00:00,95,mechanical,"Nozzle blocked, unable to cut material.",tech_egreen,"Replaced nozzle, cleaned feed.",nozzle,false,40 units delayed,op_dgomez,2024-06-07
35,MX-2003,Welder Gamma,Welding Bay,2024-06-08T11:45:00,2024-06-08T12:25:00,40,electrical,"Control panel error, auto-reboot.",tech_lmurphy,"Rebooted panel, checked connections.",,false,No measurable impact,op_mharris,2024-06-08
36,MX-6004,Storage Bay Proto,Storage Area,2024-06-09T12:00:00,2024-06-09T14:00:00,120,other,Network update and equipment setup.,it_sroberts,"Configured network, verified connectivity.",,false,No production affected,facility_mgr,2024-06-09
37,MX-1008,Press Psi,Assembly Line D,2024-06-10T07:15:00,2024-06-10T09:05:00,110,mechanical,"Gear set worn out, replaced.",tech_jroberts,"Replaced gear set, tested press.",gear set,false,45 units delayed,op_cmartin,2024-06-10
38,MX-5009,Cutter Tau,Cutting Room,2024-06-11T16:00:00,2024-06-11T17:40:00,100,mechanical,Blade misalignment caused stoppage.,tech_egreen,"Realigned blade, tested cut.",,false,38 units delayed,op_dgomez,2024-06-11
39,MX-4008,Press Upsilon,Assembly Line E,2024-06-12T12:30:00,2024-06-12T14:00:00,90,scheduled_maintenance,Monthly cleaning and check.,maintenance_team,"Cleaned press, replaced filter.",filter,true,"Planned downtime, no impact",scheduler_dtran,2024-06-10
40,MX-2005,Welder Delta,Welding Bay,2024-06-13T13:40:00,2024-06-13T14:10:00,30,electrical,Sensor calibration error.,team_electric,"Recalibrated sensor, resumed welding.",,false,10 units delayed,op_rkhan,2024-06-13
41,MX-3005,Cutter Iota,Cutting Room,2024-06-14T08:00:00,2024-06-14T08:40:00,40,mechanical,Seal failure in coolant system.,tech_slim,"Replaced seal, checked for leaks.",seal,false,18 units delayed,op_rpatel,2024-06-14
42,MX-1009,Press Tau,Assembly Line C,2024-06-15T07:30:00,2024-06-15T08:25:00,55,mechanical,"Hydraulic fluid low, auto-stop triggered.",tech_jroberts,"Refilled fluid, checked system.",,false,20 units delayed,op_cmartin,2024-06-15
43,MX-5001,Cutter Alpha,Cutting Room,2024-06-16T09:00:00,2024-06-16T09:07:00,7,operator_error,Operator paused machine for inspection.,op_tlee,Resumed operation after inspection.,,false,No impact,op_tlee,2024-06-16
44,MX-6005,Experimental Proto,Test Lab,2024-06-17T14:10:00,2024-06-17T17:00:00,170,other,Firmware update and load testing.,test_team,"Updated firmware, monitored load.",,false,Lab test; no production affected,test_team,2024-06-17
45,MX-4004,Press Lambda,Assembly Line B,2024-06-18T08:00:00,2024-06-18T09:00:00,60,mechanical,"Main drive gear worn, replacement needed.",tech_egreen,"Replaced gear, tested alignment.",gear set,false,24 units delayed,op_cmartin,2024-06-18
46,MX-20010,Welder Epsilon,Welding Bay,2024-06-19T13:00:00,2024-06-19T13:35:00,35,electrical,"Power fluctuation, system restarted.",tech_lmurphy,Restarted system and monitored voltage.,,false,13 units delayed,op_mharris,2024-06-19
47,MX-10010,Press Chi,Assembly Line D,2024-06-20T08:15:00,2024-06-20T09:00:00,45,mechanical,"Feed tray jammed, required manual clearing.",op_swright,"Cleared tray, resumed feed.",,false,16 units delayed,op_swright,2024-06-20
48,MX-50010,Cutter Xi,Cutting Room,2024-06-21T15:00:00,2024-06-21T16:30:00,90,mechanical,"Coolant filter blocked, overheating occurred.",tech_slim,"Replaced filter, tested coolant flow.",filter,false,36 units delayed,op_rpatel,2024-06-21
49,MX-6006,Warehouse Proto,Remote Warehouse,2024-06-22T08:00:00,2024-06-22T10:20:00,140,other,External network failure.,facility_mgr,Restored network access.,,false,All production suspended,facility_mgr,2024-06-22
50,MX-20011,Welder Zeta,Welding Bay,2024-06-23T12:00:00,2024-06-23T12:29:00,29,electrical,Control fuse blown.,tech_lmurphy,"Replaced fuse, restarted system.",fuse,false,9 units delayed,op_mharris,2024-06-23
51,MX-1208,Press Eta,Assembly Line B,2024-07-02T08:13:00,2024-07-02T09:04:00,51,mechanical,Belt slippage detected during cycle.,tech_elliot,Replaced worn belt and realigned pulleys.,belt,false,"42 units delayed, 51 min total downtime",op_karim,2024-07-02
52,MX-4422,Welder Xi,Welding Bay North,2024-07-04T11:46:00,2024-07-04T12:28:00,42,electrical,Voltage drop causing controller reset.,team_electric,"Replaced fuse, recalibrated voltage sensor.",fuse,false,"19 units lost, minor delay",op_linda,2024-07-04
53,MX-3004,Cutter Alpha,Cutting Room 2,2024-07-05T14:10:00,2024-07-05T16:37:00,147,mechanical,Blade misalignment caused repeated jams.,tech_victor,Realigned blade and lubricated bearings.,bearing,false,"84 units delayed, 2h 27m downtime",op_sophia,2024-07-05
54,MX-5531,Press Theta,Assembly Line D,2024-07-06T10:15:00,2024-07-06T10:38:00,23,operator_error,Incorrect startup sequence performed.,op_linda,"Restarted machine, reset controller.",,false,"No units lost, brief pause",op_linda,2024-07-06
55,MX-9018,Test Rig Sigma,Test Lab,2024-07-07T16:00:00,2024-07-08T04:00:00,720,scheduled_maintenance,Quarterly preventive maintenance: system check.,maintenance_team,"Cleaned, replaced filter and circuit board.","filter,circuit_board",true,"Planned downtime, no impact",scheduler_olga,2024-07-06
56,MX-2312,Welder Zeta,Welding Bay South,2024-07-09T09:07:00,2024-07-09T09:26:00,19,electrical,"Sensor misread, system auto shutdown.",tech_erik,"Reset sensor, tested voltage output.",,false,8 units lost,op_erik,2024-07-09
57,MX-3117,Press Iota,Assembly Line C,2024-07-10T13:22:00,2024-07-10T14:17:00,55,mechanical,Seal wear resulting in hydraulic leak.,tech_jordan,Replaced seal and refilled fluid.,seal,false,"28 units lost, 55 min downtime",op_pamela,2024-07-10
58,MX-4883,Cutter Omega,Cutting Room 1,2024-07-11T12:30:00,2024-07-11T13:05:00,35,mechanical,"Coolant flow blocked, system overheated.",tech_jordan,"Flushed coolant line, replaced coolant.",coolant,false,16 units delayed,op_karim,2024-07-11
59,MX-1208,Press Eta,Assembly Line B,2024-07-12T14:00:00,2024-07-12T14:07:00,7,operator_error,Operator forgot to restart after emergency stop.,op_karim,Restarted machine.,,false,"No units lost, 7 min delay",op_karim,2024-07-12
60,MX-8733,Cutter Gamma,Cutting Room 3,2024-07-13T10:40:00,2024-07-13T11:06:00,26,mechanical,"Gear set jammed, high vibration.",tech_elliot,Adjusted gear set and lubricated mechanism.,gear set,false,"11 units delayed, 26 min downtime",op_sophia,2024-07-13
61,MX-4422,Welder Xi,Welding Bay North,2024-07-14T15:50:00,2024-07-14T16:16:00,26,electrical,Fuse blown during peak cycle.,team_electric,"Replaced fuse, checked system.",fuse,false,9 units lost,op_linda,2024-07-14
62,MX-9018,Test Rig Sigma,Test Lab,2024-07-15T07:00:00,2024-07-15T19:00:00,720,scheduled_maintenance,Annual calibration and system diagnostics.,maintenance_team,"Calibrated sensors, replaced filter and seal.","filter,seal",true,"Planned downtime, production halted for calibration",scheduler_olga,2024-07-14
63,MX-2105,Press Epsilon,Assembly Line A,2024-07-16T08:00:00,2024-07-16T08:18:00,18,mechanical,"Bearing worn, causing noise.",tech_erik,"Replaced bearing, tested operation.",bearing,false,10 units delayed,op_pamela,2024-07-16
64,MX-5531,Press Theta,Assembly Line D,2024-07-17T10:40:00,2024-07-17T11:00:00,20,operator_error,Incorrect shutdown procedure.,op_linda,Restarted and checked safety interlocks.,,false,"Minor delay, 20 min downtime",op_linda,2024-07-17
65,MX-4422,Welder Xi,Welding Bay North,2024-07-18T13:15:00,2024-07-18T13:37:00,22,electrical,"Voltage spike, controller reset.",team_electric,"Checked wiring, reset controller.",,false,No measurable impact,op_linda,2024-07-18
66,MX-8733,Cutter Gamma,Cutting Room 3,2024-07-19T11:44:00,2024-07-19T13:25:00,101,mechanical,"Nozzle blockage, overheating.",tech_elliot,"Cleaned nozzle, replaced coolant.","nozzle,coolant",false,"40 units delayed, 101 min downtime",op_sophia,2024-07-19
67,MX-3117,Press Iota,Assembly Line C,2024-07-20T10:11:00,2024-07-20T10:18:00,7,operator_error,Operator did not confirm reset.,op_pamela,Confirmed reset and resumed operation.,,false,"No units lost, 7 min delay",op_pamela,2024-07-20
68,MX-9018,Test Rig Sigma,Test Lab,2024-07-21T07:00:00,2024-07-21T15:00:00,480,scheduled_maintenance,Midyear system diagnostics and update.,maintenance_team,"Replaced filter, updated firmware.",filter,true,"Planned downtime, no impact",scheduler_olga,2024-07-20
69,MX-3004,Cutter Alpha,Cutting Room 2,2024-07-22T14:28:00,2024-07-22T15:31:00,63,mechanical,"Motor overheating, safety cutoff.",tech_victor,Replaced motor and tested system.,motor,false,"23 units delayed, 63 min downtime",op_sophia,2024-07-22
70,MX-2312,Welder Zeta,Welding Bay South,2024-07-23T08:30:00,2024-07-23T08:43:00,13,electrical,Sensor calibration error.,tech_erik,"Recalibrated sensor, verified readings.",,false,5 units lost,op_erik,2024-07-23
71,MX-1208,Press Eta,Assembly Line B,2024-07-24T09:00:00,2024-07-24T09:54:00,54,mechanical,Hydraulic fluid leak detected.,tech_elliot,Replaced seal and refilled fluid.,seal,false,"22 units delayed, 54 min downtime",op_karim,2024-07-24
72,MX-2105,Press Epsilon,Assembly Line A,2024-07-25T08:22:00,2024-07-25T08:41:00,19,mechanical,"Bearing noise, lubrication failure.",tech_erik,"Lubricated bearing, replaced worn bearing.",bearing,false,8 units delayed,op_pamela,2024-07-25
73,MX-4883,Cutter Omega,Cutting Room 1,2024-07-26T12:00:00,2024-07-26T12:41:00,41,mechanical,"Coolant leak, safety shutdown.",tech_jordan,Replaced coolant and cleaned line.,coolant,false,17 units delayed,op_karim,2024-07-26
74,MX-5531,Press Theta,Assembly Line D,2024-07-27T10:33:00,2024-07-27T10:45:00,12,operator_error,Operator skipped safety reset.,op_linda,Safety reset performed.,,false,"No units lost, 12 min delay",op_linda,2024-07-27
75,MX-8733,Cutter Gamma,Cutting Room 3,2024-07-28T11:12:00,2024-07-28T11:44:00,32,mechanical,"Gear set worn, vibration detected.",tech_elliot,"Replaced gear set, lubricated mechanism.",gear set,false,"14 units delayed, 32 min downtime",op_sophia,2024-07-28
76,MX-3004,Cutter Alpha,Cutting Room 2,2024-07-29T14:00:00,2024-07-29T16:27:00,147,mechanical,"Blade misalignment, repeated jams.",tech_victor,"Realigned blade, lubricated bearings.",bearing,false,"84 units delayed, 2h 27m downtime",op_sophia,2024-07-29
77,MX-4422,Welder Xi,Welding Bay North,2024-07-30T11:48:00,2024-07-30T12:19:00,31,electrical,"Voltage drop, controller auto reset.",team_electric,"Checked wiring, replaced fuse.",fuse,false,"13 units lost, minor delay",op_linda,2024-07-30
78,MX-2312,Welder Zeta,Welding Bay South,2024-07-31T09:10:00,2024-07-31T09:39:00,29,electrical,"Sensor error, system auto shutdown.",tech_erik,"Reset sensor, verified output.",,false,11 units lost,op_erik,2024-07-31
79,MX-9018,Test Rig Sigma,Test Lab,2024-08-01T07:00:00,2024-08-01T19:00:00,720,scheduled_maintenance,Annual preventive maintenance.,maintenance_team,"Cleaned, replaced filter and circuit board.","filter,circuit_board",true,"Planned downtime, production halted",scheduler_olga,2024-07-31
80,MX-3117,Press Iota,Assembly Line C,2024-08-02T10:09:00,2024-08-02T10:21:00,12,operator_error,Operator skipped startup check.,op_pamela,"Performed startup check, reset system.",,false,"No units lost, 12 min delay",op_pamela,2024-08-02
81,MX-8733,Cutter Gamma,Cutting Room 3,2024-08-03T11:40:00,2024-08-03T12:13:00,33,mechanical,"Nozzle clogged, overheating.",tech_elliot,"Cleaned nozzle, replaced coolant.","nozzle,coolant",false,"14 units delayed, 33 min downtime",op_sophia,2024-08-03
82,MX-1208,Press Eta,Assembly Line B,2024-08-04T08:10:00,2024-08-04T09:01:00,51,mechanical,Belt slippage detected during cycle.,tech_elliot,"Replaced belt, realigned pulleys.",belt,false,"40 units delayed, 51 min downtime",op_karim,2024-08-04
83,MX-3004,Cutter Alpha,Cutting Room 2,2024-08-05T14:10:00,2024-08-05T16:37:00,147,mechanical,Blade misalignment causing jams.,tech_victor,"Realigned blade, lubricated bearings.",bearing,false,"82 units delayed, 2h 27m downtime",op_sophia,2024-08-05
84,MX-4422,Welder Xi,Welding Bay North,2024-08-06T11:47:00,2024-08-06T12:32:00,45,electrical,"Voltage drop, controller reset.",team_electric,"Replaced fuse, recalibrated voltage sensor.",fuse,false,"19 units lost, minor delay",op_linda,2024-08-06
85,MX-8733,Cutter Gamma,Cutting Room 3,2024-08-07T11:39:00,2024-08-07T12:08:00,29,mechanical,"Gear set jammed, vibration detected.",tech_elliot,"Adjusted gear set, lubricated mechanism.",gear set,false,"10 units delayed, 29 min downtime",op_sophia,2024-08-07
86,MX-2312,Welder Zeta,Welding Bay South,2024-08-08T09:06:00,2024-08-08T09:25:00,19,electrical,"Sensor misread, system auto shutdown.",tech_erik,"Reset sensor, tested voltage output.",,false,8 units lost,op_erik,2024-08-08
87,MX-5531,Press Theta,Assembly Line D,2024-08-09T10:18:00,2024-08-09T10:30:00,12,operator_error,Operator skipped shutdown check.,op_linda,Shutdown check performed.,,false,"No units lost, 12 min delay",op_linda,2024-08-09
88,MX-9018,Test Rig Sigma,Test Lab,2024-08-10T07:00:00,2024-08-10T19:00:00,720,scheduled_maintenance,Quarterly preventive maintenance.,maintenance_team,"Cleaned, replaced filter and circuit board.","filter,circuit_board",true,"Planned downtime, no impact",scheduler_olga,2024-08-09
89,MX-3117,Press Iota,Assembly Line C,2024-08-11T10:00:00,2024-08-11T10:13:00,13,operator_error,Operator skipped startup procedure.,op_pamela,Startup procedure performed.,,false,"No units lost, 13 min delay",op_pamela,2024-08-11
90,MX-2105,Press Epsilon,Assembly Line A,2024-08-12T08:30:00,2024-08-12T08:49:00,19,mechanical,"Bearing noise, lubrication failure.",tech_erik,Lubricated and replaced bearing.,bearing,false,9 units delayed,op_pamela,2024-08-12
91,MX-4422,Welder Xi,Welding Bay North,2024-08-13T11:45:00,2024-08-13T12:13:00,28,electrical,"Voltage drop, controller reset.",team_electric,"Replaced fuse, checked wiring.",fuse,false,"11 units lost, minor delay",op_linda,2024-08-13
92,MX-8733,Cutter Gamma,Cutting Room 3,2024-08-14T11:38:00,2024-08-14T12:13:00,35,mechanical,"Nozzle blocked, overheating detected.",tech_elliot,"Cleaned nozzle, replaced coolant.","nozzle,coolant",false,"14 units delayed, 35 min downtime",op_sophia,2024-08-14
93,MX-1208,Press Eta,Assembly Line B,2024-08-15T08:12:00,2024-08-15T09:06:00,54,mechanical,Belt slippage detected during cycle.,tech_elliot,"Replaced belt, realigned pulleys.",belt,false,"42 units delayed, 54 min downtime",op_karim,2024-08-15
94,MX-3004,Cutter Alpha,Cutting Room 2,2024-08-16T14:10:00,2024-08-16T16:37:00,147,mechanical,"Blade misalignment, repeated jams.",tech_victor,"Realigned blade, lubricated bearings.",bearing,false,"84 units delayed, 2h 27m downtime",op_sophia,2024-08-16
