downtime_id,machine_id,machine_name,location,downtime_start,downtime_end,duration_minutes,downtime_type,cause_description,resolved_by,resolution_actions,parts_replaced,scheduled_maintenance,production_impact,reported_by,report_date
95,MX-9018,Test Rig Sigma,Test Lab,2024-08-17T07:00:00,2024-08-17T19:00:00,720,scheduled_maintenance,"Quarterly preventive maintenance, system check.",maintenance_team,"Cleaned, replaced filter and circuit board.","filter,circuit_board",true,"Planned downtime, production halted",scheduler_olga,2024-08-16
96,MX-4422,Welder Xi,Welding Bay North,2024-08-18T11:44:00,2024-08-18T12:21:00,37,electrical,"Voltage drop, controller reset.",team_electric,"Replaced fuse, recalibrated sensor.",fuse,false,"16 units lost, minor delay",op_linda,2024-08-18
97,MX-2312,Welder Zeta,Welding Bay South,2024-08-19T09:05:00,2024-08-19T09:22:00,17,electrical,"Sensor error, system auto shutdown.",tech_erik,"Reset sensor, verified readings.",,false,6 units lost,op_erik,2024-08-19
98,MX-8733,Cutter Gamma,Cutting Room 3,2024-08-20T11:37:00,2024-08-20T12:17:00,40,mechanical,"Gear set worn, vibration detected.",tech_elliot,"Replaced gear set, lubricated mechanism.",gear set,false,"15 units delayed, 40 min downtime",op_sophia,2024-08-20
99,MX-3117,Press Iota,Assembly Line C,2024-08-21T10:12:00,2024-08-21T10:23:00,11,operator_error,Operator skipped startup check.,op_pamela,Startup check performed.,,false,"No units lost, 11 min delay",op_pamela,2024-08-21
100,MX-1208,Press Eta,Assembly Line B,2024-08-22T08:15:00,2024-08-22T09:07:00,52,mechanical,Hydraulic fluid leak detected.,tech_elliot,Replaced seal and refilled fluid.,seal,false,"24 units delayed, 52 min downtime",op_karim,2024-08-22
101,MX-3401,Press Sigma,Assembly Line A,2024-07-03T08:32:00,2024-07-03T10:05:00,93,mechanical,Belt misalignment causing vibration and shutdown.,tech_hall,"Realigned belt, ran diagnostic test.",belt,false,"84 units lost, 40 min delay",op_benitez,2024-07-03
102,MX-4572,Welder Delta,Welding Bay,2024-07-05T13:02:00,2024-07-05T13:33:00,31,electrical,Fuse tripped during high current cycle.,team_electric,"Replaced fuse, checked current regulation.",fuse,false,17 units delayed,op_hogg,2024-07-05
103,MX-3905,Cutter Lambda,Cutting Room,2024-07-07T14:20:00,2024-07-07T14:26:00,6,mechanical,Nozzle blockage identified by operator.,op_saha,"Cleared nozzle, resumed operation.",,false,"4 units lost, brief pause",op_saha,2024-07-07
104,MX-4402,Press Mu,Assembly Line B,2024-07-08T10:10:00,2024-07-08T10:38:00,28,operator_error,Incorrect parameter set by operator.,op_liu,Reset control panel settings.,,false,"No units produced, minor delay",op_liu,2024-07-08
105,MX-3120,Cutter Theta,Cutting Room,2024-07-10T16:23:00,2024-07-10T16:59:00,36,electrical,Voltage drop detected in sensor system.,tech_cho,"Fixed wiring, replaced sensor.",sensor,false,12 units lost,op_marie,2024-07-10
106,MX-3277,Welder Epsilon,Welding Bay,2024-07-11T09:45:00,2024-07-11T10:28:00,43,mechanical,"Seal leak at joint, causing coolant loss.",tech_cho,"Replaced seal, refilled coolant.","seal,coolant",false,"19 units delayed, 10 min delay",op_parker,2024-07-11
107,MX-3905,Cutter Lambda,Cutting Room,2024-07-13T11:40:00,2024-07-13T11:48:00,8,operator_error,Forgot to reset safety system.,op_saha,Restarted safety protocol.,,false,"No units lost, brief pause",op_saha,2024-07-13
108,MX-3744,Press Nu,Assembly Line D,2024-07-14T14:18:00,2024-07-14T17:04:00,166,mechanical,Gear set failure during high torque application.,tech_abram,"Gear set replaced, recalibrated drive.",gear set,false,"103 units lost, 90 min delay",op_chase,2024-07-14
109,MX-4882,Welder Zeta,Welding Bay,2024-07-16T12:22:00,2024-07-16T12:42:00,20,electrical,Sensor misread due to humidity spike.,team_electric,"Adjusted sensor, tested circuit.",,false,No measurable impact,op_jensen,2024-07-16
110,MX-4129,Cutter Pi,Cutting Room,2024-07-17T15:20:00,2024-07-17T16:42:00,82,mechanical,"Bearing wear detected, causing noise.",tech_abram,"Replaced bearing, lubricated shaft.",bearing,false,49 units delayed,op_torres,2024-07-17
111,MX-4520,Press Tau,Assembly Line E,2024-07-18T08:35:00,2024-07-18T09:44:00,69,mechanical,Hydraulic leak detected under base.,tech_hall,"Replaced hydraulic line, pressure test.",hydraulic line,false,31 units lost,op_liu,2024-07-18
112,MX-4667,Welder Xi,Welding Bay,2024-07-19T11:25:00,2024-07-19T12:03:00,38,electrical,Unexpected voltage spike at terminal.,team_electric,"Inspected terminal, replaced fuse.",fuse,false,7 units delayed,op_marie,2024-07-19
113,MX-3991,Cutter Delta,Cutting Room,2024-07-21T15:22:00,2024-07-21T15:44:00,22,mechanical,Jam at feed tray during operation.,op_hogg,"Cleared jam, checked feed alignment.",,false,5 units lost,op_hogg,2024-07-21
114,MX-4915,Press Kappa,Assembly Line C,2024-07-23T09:15:00,2024-07-23T12:03:00,168,scheduled_maintenance,Quarterly preventive maintenance check.,maintenance_team,"Lubricated moving parts, replaced filter, calibration.",filter,true,"Planned downtime, no impact",scheduler_hill,2024-07-22
115,MX-4533,Welder Omicron,Welding Bay,2024-07-24T11:42:00,2024-07-24T12:20:00,38,electrical,Short detected at controller board.,tech_cho,"Replaced circuit board, tested voltage.",circuit board,false,9 units lost,op_jensen,2024-07-24
116,MX-4183,Press Xi,Assembly Line D,2024-07-25T14:02:00,2024-07-25T14:17:00,15,operator_error,Operator paused for safety check.,op_parker,"Safety check completed, machine restarted.",,false,No impact,op_parker,2024-07-25
117,MX-4006,Cutter Gamma,Cutting Room,2024-07-26T10:46:00,2024-07-26T12:53:00,127,mechanical,"Coolant pump failure, overheating risk.",tech_hall,"Replaced pump, refilled coolant.","pump,coolant",false,"54 units lost, 25 min delay",op_benitez,2024-07-26
118,MX-4390,Welder Eta,Welding Bay,2024-07-27T09:15:00,2024-07-27T09:47:00,32,electrical,Circuit overload during test run.,team_electric,"Reset circuit, monitored load.",,false,5 units delayed,op_marie,2024-07-27
119,MX-4122,Press Phi,Assembly Line B,2024-07-29T08:30:00,2024-07-29T11:11:00,161,scheduled_maintenance,Annual maintenance window.,maintenance_team,"Full system check, replaced nozzle, filter.","nozzle,filter",true,Production halted for maintenance window,scheduler_fern,2024-07-28
120,MX-4287,Cutter Omega,Cutting Room,2024-07-30T11:50:00,2024-07-30T12:15:00,25,mechanical,Feed roller stuck on debris.,op_benitez,"Cleared debris, checked roller.",,false,6 units lost,op_benitez,2024-07-30
121,MX-4905,Press Rho,Assembly Line E,2024-08-01T08:09:00,2024-08-01T09:55:00,106,mechanical,Motor overheating detected by control system.,tech_abram,"Replaced motor, tested cooling.",motor,false,"57 units lost, 20 min delay",op_chase,2024-08-01
122,MX-4038,Welder Beta,Welding Bay,2024-08-02T13:21:00,2024-08-02T13:50:00,29,electrical,Sensor error during initial startup.,tech_cho,"Replaced sensor, recalibrated system.",sensor,false,6 units delayed,op_parker,2024-08-02
123,MX-4667,Welder Xi,Welding Bay,2024-08-03T09:12:00,2024-08-03T09:54:00,42,electrical,Voltage drop in main supply.,team_electric,"Monitored supply, replaced fuse.",fuse,false,8 units delayed,op_chase,2024-08-03
124,MX-3912,Cutter Sigma,Cutting Room,2024-08-04T11:55:00,2024-08-04T12:04:00,9,operator_error,Operator forgot to enable coolant flow.,op_hogg,"Enabled coolant, resumed operation.",,false,No units lost,op_hogg,2024-08-04
125,MX-4296,Press Lambda,Assembly Line A,2024-08-06T10:14:00,2024-08-06T13:11:00,177,scheduled_maintenance,Annual lubrication and calibration.,maintenance_team,"Lubricated, calibrated, replaced filter.",filter,true,"Planned downtime, no impact",scheduler_hill,2024-08-05
126,MX-4138,Cutter Epsilon,Cutting Room,2024-08-07T15:27:00,2024-08-07T16:09:00,42,mechanical,Jam at material feed detected.,op_saha,"Cleared jam, checked alignment.",,false,8 units lost,op_saha,2024-08-07
127,MX-4572,Welder Delta,Welding Bay,2024-08-09T11:13:00,2024-08-09T12:02:00,49,electrical,Unexpected shutdown - controller fault.,tech_cho,"Reset controller, replaced fuse.",fuse,false,11 units delayed,op_parker,2024-08-09
128,MX-4183,Press Xi,Assembly Line D,2024-08-10T09:47:00,2024-08-10T11:22:00,95,mechanical,"Bearing cracked, causing noise and vibration.",tech_hall,"Replaced bearing, lubricated shaft.",bearing,false,"39 units lost, 15 min delay",op_benitez,2024-08-10
129,MX-4038,Welder Beta,Welding Bay,2024-08-11T12:17:00,2024-08-11T12:49:00,32,electrical,Power fluctuation during early shift.,team_electric,"Monitored power, reset system.",,false,No measurable impact,op_marie,2024-08-11
130,MX-3905,Cutter Lambda,Cutting Room,2024-08-12T14:11:00,2024-08-12T14:26:00,15,mechanical,"Nozzle misaligned, cutting error.",op_saha,"Realigned nozzle, checked output.",,false,3 units lost,op_saha,2024-08-12
131,MX-4122,Press Phi,Assembly Line B,2024-08-13T09:07:00,2024-08-13T09:51:00,44,mechanical,Belt slip detected by sensor.,tech_hall,"Adjusted belt, tightened pulley.",belt,false,17 units lost,op_chase,2024-08-13
132,MX-3114,Press Eta,Assembly Line A,2024-08-15T08:43:00,2024-08-15T09:08:00,25,operator_error,Incorrect start sequence performed.,op_benitez,"Restarted machine, verified sequence.",,false,"Minor delay, no units lost",op_benitez,2024-08-15
133,MX-4915,Press Kappa,Assembly Line C,2024-08-16T08:59:00,2024-08-16T09:21:00,22,mechanical,"Bearing wear detected, vibration increased.",tech_abram,"Replaced bearing, checked alignment.",bearing,false,11 units lost,op_liu,2024-08-16
134,MX-4129,Cutter Pi,Cutting Room,2024-08-17T15:12:00,2024-08-17T15:34:00,22,mechanical,Feed tray jam due to foreign object.,op_torres,"Removed object, cleaned tray.",,false,5 units lost,op_torres,2024-08-17
135,MX-4533,Welder Omicron,Welding Bay,2024-08-19T12:30:00,2024-08-19T13:02:00,32,electrical,Fuse tripped during welding.,team_electric,"Replaced fuse, monitored operation.",fuse,false,8 units delayed,op_jensen,2024-08-19
136,MX-4296,Press Lambda,Assembly Line A,2024-08-20T10:17:00,2024-08-20T11:02:00,45,mechanical,"Hydraulic pressure low, detected by sensor.",tech_hall,"Replaced seal, topped up hydraulic fluid.",seal,false,18 units lost,op_chase,2024-08-20
137,MX-3905,Cutter Lambda,Cutting Room,2024-08-21T14:33:00,2024-08-21T14:48:00,15,operator_error,Operator failed to clear error code.,op_saha,"Error code reset, restarted machine.",,false,"No units lost, brief pause",op_saha,2024-08-21
138,MX-4905,Press Rho,Assembly Line E,2024-08-22T08:07:00,2024-08-22T08:44:00,37,mechanical,Motor overheating detected.,tech_abram,"Replaced motor, checked cooling.",motor,false,13 units lost,op_liu,2024-08-22
139,MX-4915,Press Kappa,Assembly Line C,2024-08-23T10:15:00,2024-08-23T10:41:00,26,operator_error,Operator paused for safety check.,op_liu,"Safety check completed, machine restarted.",,false,"Minor delay, no units lost",op_liu,2024-08-23
140,MX-4129,Cutter Pi,Cutting Room,2024-08-24T15:20:00,2024-08-24T16:17:00,57,mechanical,Gear set failure detected.,tech_hall,"Replaced gear set, tested drive.",gear set,false,27 units lost,op_torres,2024-08-24
141,MX-4287,Cutter Omega,Cutting Room,2024-08-26T11:12:00,2024-08-26T11:37:00,25,mechanical,Nozzle blockage detected by operator.,op_benitez,"Cleared blockage, checked nozzle.",,false,7 units lost,op_benitez,2024-08-26
142,MX-4390,Welder Eta,Welding Bay,2024-08-27T09:13:00,2024-08-27T09:36:00,23,electrical,Short detected at controller board.,tech_cho,"Replaced circuit board, tested voltage.",circuit board,false,6 units delayed,op_marie,2024-08-27
143,MX-4533,Welder Omicron,Welding Bay,2024-08-28T11:24:00,2024-08-28T12:12:00,48,electrical,Fuse tripped during welding.,team_electric,"Replaced fuse, monitored operation.",fuse,false,10 units delayed,op_jensen,2024-08-28
144,MX-4572,Welder Delta,Welding Bay,2024-08-29T13:13:00,2024-08-29T13:51:00,38,electrical,Sensor error during weld cycle.,tech_cho,"Replaced sensor, recalibrated system.",sensor,false,7 units delayed,op_parker,2024-08-29
145,MX-4905,Press Rho,Assembly Line E,2024-08-30T08:19:00,2024-08-30T08:40:00,21,mechanical,Seal leak detected under base.,tech_abram,"Replaced seal, pressure test.",seal,false,8 units lost,op_liu,2024-08-30
146,MX-4915,Press Kappa,Assembly Line C,2024-09-01T09:18:00,2024-09-01T10:50:00,92,scheduled_maintenance,Quarterly preventive maintenance check.,maintenance_team,"Lubricated moving parts, replaced filter.",filter,true,"Planned downtime, no impact",scheduler_fern,2024-08-31
147,MX-4296,Press Lambda,Assembly Line A,2024-09-02T10:21:00,2024-09-02T13:16:00,175,scheduled_maintenance,Annual lubrication and calibration.,maintenance_team,"Lubricated, calibrated, replaced filter.",filter,true,"Planned downtime, no impact",scheduler_hill,2024-09-01
148,MX-4183,Press Xi,Assembly Line D,2024-09-03T14:30:00,2024-09-03T14:52:00,22,mechanical,Belt slip detected by sensor.,tech_hall,Adjusted belt tension.,belt,false,9 units lost,op_benitez,2024-09-03
149,MX-4572,Welder Delta,Welding Bay,2024-09-04T13:00:00,2024-09-04T13:32:00,32,electrical,Power fluctuation during weld.,team_electric,"Monitored power, reset system.",,false,No measurable impact,op_marie,2024-09-04
150,MX-4129,Cutter Pi,Cutting Room,2024-09-05T15:13:00,2024-09-05T15:36:00,23,mechanical,"Nozzle misaligned, cutting error.",op_torres,"Realigned nozzle, checked output.",,false,6 units lost,op_torres,2024-09-05
151,MX-3012,Press Zeta,Assembly Line D,2024-07-04T10:12:00,2024-07-04T11:18:00,66,mechanical,"Belt worn, resulting in misalignment",tech_ashley,"Replaced belt, adjusted alignment",belt,false,"52 units lost, 25 min delay",op_tom,2024-07-04
152,MX-4175,Welder Gamma,Welding Bay 2,2024-07-12T15:23:00,2024-07-12T15:39:00,16,electrical,Sensor misread due to voltage drop,team_electric,"Checked wiring, replaced sensor",sensor,false,14 units delayed,op_nina,2024-07-12
153,MX-2128,Cutter Theta,Cutting Room,2024-07-15T08:05:00,2024-07-15T08:26:00,21,mechanical,Gear jammed after coolant leak,tech_samuel,"Unjammed gear, replaced coolant gasket",coolant gasket,false,"23 units missed, 12 min delay",op_mona,2024-07-15
154,MX-3304,Press Omega,Assembly Line C,2024-07-09T09:44:00,2024-07-09T10:41:00,57,mechanical,Seal failure caused pressure drop,tech_luis,"Replaced seal, pressure tested",seal,false,40 units lost,op_susie,2024-07-09
155,MX-2084,Welder Delta,Welding Bay 3,2024-07-18T14:01:00,2024-07-18T14:51:00,50,electrical,Fuse tripped during cycle,tech_jordan,"Replaced fuse, tested circuit",fuse,false,30 units missed,op_rachel,2024-07-18
156,MX-4908,Cutter Sigma,Cutting Room,2024-07-05T13:18:00,2024-07-05T14:26:00,68,mechanical,Bearing noise detected,team_mechanical,"Replaced bearing, lubrication",bearing,false,55 units delayed,op_ian,2024-07-05
157,MX-2203,Press Epsilon,Assembly Line A,2024-07-02T08:42:00,2024-07-02T09:27:00,45,mechanical,Jam caused by misfed material,op_steve,"Cleared jam, adjusted feeder",,false,19 units lost,op_steve,2024-07-02
158,MX-5001,Welder Mu,Welding Bay 1,2024-07-16T12:12:00,2024-07-16T12:35:00,23,electrical,Voltage fluctuation from grid,team_electric,"Stabilized input, reset breaker",,false,8 units delayed,op_kate,2024-07-16
159,MX-2637,Press Lambda,Assembly Line E,2024-07-03T10:55:00,2024-07-03T11:38:00,43,mechanical,Alignment error detected,tech_peter,Realigned press head,,false,16 units delayed,op_peter,2024-07-03
160,MX-4092,Cutter Xi,Cutting Room,2024-07-13T16:00:00,2024-07-13T16:30:00,30,mechanical,Motor overheated,tech_diana,"Cooled motor, monitored cycle",,false,"20 units lost, 10 min delay",op_diana,2024-07-13
161,MX-3188,Welder Iota,Welding Bay 4,2024-07-20T07:48:00,2024-07-20T08:00:00,12,electrical,Temporary voltage drop,op_raj,"Reset circuit, monitored voltage",,false,No measurable impact,op_raj,2024-07-20
162,MX-1017,Press Alpha,Assembly Line B,2024-07-29T11:11:00,2024-07-29T11:26:00,15,mechanical,Minor bearing noise,tech_alex,Lubricated bearing,,false,6 units lost,op_alex,2024-07-29
163,MX-5450,Cutter Rho,Cutting Room,2024-07-24T13:49:00,2024-07-24T16:19:00,150,mechanical,"Heavy jam, blade replaced",tech_mary,"Replaced blade, cleared jam",blade,false,"108 units missed, 55 min delay",op_mary,2024-07-24
164,MX-3832,Welder Nu,Welding Bay 2,2024-07-06T09:21:00,2024-07-06T09:41:00,20,electrical,Control board error,tech_james,"Replaced board, reset system",board,false,20 units delayed,op_james,2024-07-06
165,MX-3176,Press Pi,Assembly Line B,2024-07-11T11:33:00,2024-07-11T12:03:00,30,mechanical,Hydraulic leak detected,tech_sophie,"Replaced seal, topped hydraulic fluid",seal,false,15 units lost,op_sophie,2024-07-11
166,MX-5109,Welder Tau,Welding Bay 5,2024-07-22T14:22:00,2024-07-22T15:08:00,46,electrical,Wiring issue from last maintenance,team_electric,"Repaired wiring, retested",,false,22 units delayed,op_elaine,2024-07-22
167,MX-6892,Press Sigma,Assembly Line E,2024-07-08T10:15:00,2024-07-08T11:10:00,55,mechanical,"Drive failure, required replacement",team_mechanical,Replaced drive unit,drive unit,false,41 units lost,op_victor,2024-07-08
168,MX-8503,Cutter Kappa,Cutting Room,2024-07-14T08:08:00,2024-07-14T08:48:00,40,mechanical,Nozzle clogged by debris,tech_will,"Cleaned nozzle, resumed cycle",,false,18 units delayed,op_will,2024-07-14
169,MX-4107,Press Gamma,Assembly Line C,2024-07-07T09:32:00,2024-07-07T10:11:00,39,mechanical,"Minor jam, cleared by operator",op_kyle,"Cleared jam, monitored output",,false,11 units lost,op_kyle,2024-07-07
170,MX-2105,Welder Beta,Welding Bay 1,2024-07-17T13:27:00,2024-07-17T13:49:00,22,electrical,"Breaker tripped, power reset",tech_lucas,"Reset breaker, verified output",,false,7 units delayed,op_lucas,2024-07-17
171,MX-9356,Press Eta,Assembly Line D,2024-07-19T09:31:00,2024-07-19T10:14:00,43,mechanical,Jam due to misfed material,op_susan,"Cleared jam, restarted",,false,17 units lost,op_susan,2024-07-19
172,MX-1992,Cutter Alpha,Cutting Room,2024-07-28T07:22:00,2024-07-28T08:28:00,66,mechanical,"Blade chipped, replaced",tech_derek,"Replaced blade, tested cut quality",blade,false,53 units missed,op_derek,2024-07-28
173,MX-3020,Welder Zeta,Welding Bay 3,2024-07-21T15:44:00,2024-07-21T16:09:00,25,electrical,Sensor calibration issue,tech_ricky,"Calibrated sensor, monitored output",,false,13 units delayed,op_ricky,2024-07-21
174,MX-5291,Press Theta,Assembly Line E,2024-07-25T11:03:00,2024-07-25T12:09:00,66,mechanical,"Seal worn, replaced",tech_stacy,"Replaced seal, pressure tested",seal,false,49 units lost,op_stacy,2024-07-25
175,MX-3619,Cutter Delta,Cutting Room,2024-07-26T14:41:00,2024-07-26T15:25:00,44,mechanical,"Blade jammed, cleared",op_tina,"Cleared jam, replaced blade",blade,false,21 units delayed,op_tina,2024-07-26
176,MX-8813,Welder Epsilon,Welding Bay 4,2024-07-23T13:02:00,2024-07-23T13:33:00,31,electrical,Minor circuit fault,tech_don,"Reset circuit, monitored",,false,11 units delayed,op_don,2024-07-23
177,MX-4290,Press Tau,Assembly Line A,2024-07-30T09:30:00,2024-07-30T10:01:00,31,mechanical,Bearing wear detected,tech_jerry,"Replaced bearing, tested cycle",bearing,false,13 units lost,op_jerry,2024-07-30
178,MX-5702,Welder Lambda,Welding Bay 2,2024-07-31T14:42:00,2024-07-31T15:00:00,18,electrical,"Fuse burned, replaced",tech_albert,"Replaced fuse, tested",fuse,false,5 units delayed,op_albert,2024-07-31
179,MX-2558,Cutter Beta,Cutting Room,2024-07-27T08:21:00,2024-07-27T08:41:00,20,mechanical,Nozzle leak identified,tech_julia,"Replaced nozzle, retested",nozzle,false,13 units missed,op_julia,2024-07-27
180,MX-2391,Press Beta,Assembly Line B,2024-07-10T07:59:00,2024-07-10T08:32:00,33,mechanical,"Minor jam, cleared by operator",op_jack,Cleared jam,,false,8 units lost,op_jack,2024-07-10
181,MX-7820,Cutter Omicron,Cutting Room,2024-07-01T13:17:00,2024-07-01T13:41:00,24,mechanical,Material misfeed,op_linda,Adjusted feeder,,false,12 units delayed,op_linda,2024-07-01
182,MX-8819,Welder Phi,Welding Bay 1,2024-07-03T11:58:00,2024-07-03T12:15:00,17,electrical,Minor voltage drop,team_electric,Monitored voltage,,false,No measurable impact,op_sam,2024-07-03
183,MX-4017,Press Delta,Assembly Line D,2024-07-18T09:44:00,2024-07-18T10:26:00,42,mechanical,Seal leak detected,tech_robert,"Replaced seal, pressure tested",seal,false,"19 units lost, 7 min delay",op_robert,2024-07-18
184,MX-4952,Cutter Gamma,Cutting Room,2024-07-14T13:47:00,2024-07-14T14:11:00,24,mechanical,Blade chip detected,tech_tim,Replaced blade,blade,false,15 units missed,op_tim,2024-07-14
185,MX-6093,Welder Psi,Welding Bay 5,2024-07-17T14:43:00,2024-07-17T15:16:00,33,electrical,Sensor misread,team_electric,"Reset sensor, monitored output",,false,10 units delayed,op_phil,2024-07-17
186,MX-7215,Press Mu,Assembly Line C,2024-07-12T08:11:00,2024-07-12T08:41:00,30,mechanical,Bearing wear detected,tech_finn,Replaced bearing,bearing,false,10 units lost,op_finn,2024-07-12
187,MX-8602,Cutter Zeta,Cutting Room,2024-07-16T07:45:00,2024-07-16T08:05:00,20,mechanical,Coolant leak detected,tech_gary,Replaced gasket,gasket,false,6 units missed,op_gary,2024-07-16
188,MX-7106,Welder Xi,Welding Bay 3,2024-07-23T15:18:00,2024-07-23T15:46:00,28,electrical,Breaker tripped,tech_marc,"Reset breaker, monitored performance",,false,7 units delayed,op_marc,2024-07-23
189,MX-3341,Press Omicron,Assembly Line D,2024-07-28T11:48:00,2024-07-28T12:24:00,36,mechanical,Drive unit failure,team_mechanical,Replaced drive unit,drive unit,false,15 units lost,op_lara,2024-07-28
190,MX-5517,Cutter Epsilon,Cutting Room,2024-07-15T14:37:00,2024-07-15T15:25:00,48,mechanical,Blade chip detected,tech_nate,Replaced blade,blade,false,19 units missed,op_nate,2024-07-15
191,MX-9900,Press Rho,Assembly Line A,2024-07-22T08:05:00,2024-07-22T08:40:00,35,mechanical,Seal leak detected,tech_june,Replaced seal,seal,false,10 units lost,op_june,2024-07-22
192,MX-3722,Welder Omicron,Welding Bay 4,2024-07-20T10:22:00,2024-07-20T10:56:00,34,electrical,Voltage spike detected,team_electric,"Stabilized input, monitored output",,false,12 units delayed,op_leo,2024-07-20
193,MX-1019,Press Alpha,Assembly Line B,2024-07-11T09:40:00,2024-07-11T10:12:00,32,mechanical,Minor jam cleared by operator,op_cara,Cleared jam,,false,7 units lost,op_cara,2024-07-11
194,MX-4055,Cutter Tau,Cutting Room,2024-07-06T08:32:00,2024-07-06T09:11:00,39,mechanical,Material misfeed,op_claire,Adjusted feeder,,false,13 units delayed,op_claire,2024-07-06
195,MX-3029,Welder Sigma,Welding Bay 2,2024-07-05T13:32:00,2024-07-05T13:49:00,17,electrical,Fuse tripped,tech_paul,"Replaced fuse, reset circuit",fuse,false,No measurable impact,op_paul,2024-07-05
196,MX-6501,Press Gamma,Assembly Line E,2024-07-21T09:23:00,2024-07-21T09:41:00,18,mechanical,Minor belt slippage,op_shelly,Adjusted belt tension,,false,6 units lost,op_shelly,2024-07-21
197,MX-8807,Cutter Iota,Cutting Room,2024-07-24T12:02:00,2024-07-24T12:28:00,26,mechanical,"Blade dull, replaced",tech_larry,Replaced blade,blade,false,14 units missed,op_larry,2024-07-24
198,MX-4219,Welder Tau,Welding Bay 3,2024-07-28T14:31:00,2024-07-28T14:49:00,18,electrical,Power fluctuation,team_electric,"Monitored voltage, reset breaker",,false,4 units delayed,op_penny,2024-07-28
199,MX-7890,Press Zeta,Assembly Line C,2024-07-15T10:47:00,2024-07-15T11:19:00,32,mechanical,Seal failure detected,tech_clark,Replaced seal,seal,false,14 units lost,op_clark,2024-07-15
200,MX-6002,Cutter Eta,Cutting Room,2024-07-30T16:04:00,2024-07-30T16:35:00,31,mechanical,Nozzle clogged,tech_toby,"Cleaned nozzle, resumed operation",,false,9 units delayed,op_toby,2024-07-30